Saving classifier to: checkpoints_linear/2025-12-07_17-40-30
Epoch 1: Loss=0.3967 | Acc=89.16%
Epoch 2: Loss=0.0675 | Acc=99.05%
Epoch 3: Loss=0.0532 | Acc=99.19%
Epoch 4: Loss=0.0437 | Acc=99.19%
Epoch 5: Loss=0.0387 | Acc=99.34%
Epoch 6: Loss=0.0342 | Acc=99.19%
Epoch 7: Loss=0.0324 | Acc=99.19%
Epoch 8: Loss=0.0317 | Acc=99.19%
Epoch 9: Loss=0.0280 | Acc=99.19%
Epoch 10: Loss=0.0252 | Acc=99.27%
Epoch 11: Loss=0.0251 | Acc=99.41%
Epoch 12: Loss=0.0228 | Acc=99.41%
Epoch 13: Loss=0.0221 | Acc=99.49%
Epoch 14: Loss=0.0218 | Acc=99.56%
Epoch 15: Loss=0.0200 | Acc=99.49%
Epoch 16: Loss=0.0196 | Acc=99.49%
Epoch 17: Loss=0.0189 | Acc=99.49%
Epoch 18: Loss=0.0183 | Acc=99.49%
Epoch 19: Loss=0.0193 | Acc=99.56%
Epoch 20: Loss=0.0174 | Acc=99.56%
Saved classifier to: checkpoints_linear/2025-12-07_17-40-30/classifier.pth
