| Model | Weighted Recall | Weighted Precision | Balanced Accuracy | Macro F1 | Weighted F1 |
| --- | --- | --- | --- | --- | --- |
| resnet_wce_aug_2025-11-14_15-45-32 | 0.8480 | 0.8547 | 0.8648 | 0.8276 | 0.8492 |
| resnet_ce_noaug_2025-11-14_18-04-03 | 0.8480 | 0.8502 | 0.8058 | 0.8066 | 0.8478 |
| resnet_ce_aug_2025-11-14_17-38-51 | 0.8246 | 0.8374 | 0.7046 | 0.7307 | 0.8239 |
| resnet_wce_noaug_2025-11-14_17-08-47 | 0.8187 | 0.8214 | 0.7699 | 0.7650 | 0.8188 |
| resnet_focal_aug_2025-12-08_19-51-10 | 0.8070 | 0.7920 | 0.6610 | 0.6652 | 0.7988 |
| resnet_wfocal_noaug_2025-12-08_21-52-40 | 0.8070 | 0.8109 | 0.7553 | 0.7565 | 0.8071 |
| supcon_noaug_2025-12-11_20-44-55 | 0.8041 | 0.8033 | 0.6897 | 0.7203 | 0.7984 |
| resnet_wfocal_aug_2025-12-08_19-40-31 | 0.7895 | 0.8277 | 0.7353 | 0.6996 | 0.8033 |
| supcon_aug_2025-12-11_17-54-40 | 0.7836 | 0.7582 | 0.5846 | 0.6027 | 0.7654 |
| resnet_focal_noaug_2025-12-04_11-56-09 | 0.7778 | 0.8011 | 0.7254 | 0.7009 | 0.7789 |
